best,average
22.6,13.344
22.8,14.757333333333335
22.8,15.565333333333333
23.6,16.912
24.0,18.562666666666665
24.6,20.349333333333334
25.0,21.506666666666668
25.2,22.4
25.4,22.856
25.6,23.474666666666668
25.8,23.768
26.0,24.68
26.2,25.288
26.2,25.50933333333333
26.2,25.67733333333333
26.4,25.95733333333333
26.4,26.109333333333336
26.6,26.221333333333337
26.6,26.285333333333334
26.6,26.4
26.6,26.442666666666668
26.6,26.50133333333333
26.6,26.568
26.6,26.589333333333332
26.6,26.584000000000003
26.6,26.578666666666663
26.6,26.589333333333332
26.6,26.597333333333335
26.6,26.586666666666666
26.6,26.584000000000003
26.6,26.57866666666667
26.6,26.586666666666666
26.6,26.573333333333334
26.6,26.594666666666665
26.6,26.584000000000003
26.6,26.56533333333333
26.6,26.586666666666666
26.6,26.594666666666665
26.6,26.573333333333334
26.6,26.594666666666665
26.6,26.586666666666666
26.6,26.581333333333333
26.6,26.592000000000002
26.6,26.6
26.6,26.589333333333332
26.6,26.597333333333335
26.6,26.6
26.6,26.589333333333332
26.6,26.581333333333333
26.6,26.589333333333332
26.6,26.592000000000002
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.6,26.594666666666665
26.6,26.586666666666666
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.589333333333332
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.594666666666665
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.597333333333335
26.6,26.594666666666665
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.594666666666665
26.6,26.6
26.6,26.591999999999995
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.592000000000002
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.6,26.584000000000003
26.6,26.6
26.6,26.6
26.6,26.589333333333332
26.6,26.6
26.6,26.6
26.6,26.597333333333335
26.6,26.6
26.6,26.594666666666665
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.592000000000002
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.592000000000002
26.6,26.597333333333335
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.589333333333332
26.6,26.594666666666665
26.6,26.6
26.6,26.6
26.6,26.594666666666665
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.594666666666665
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.6
26.6,26.591999999999995
26.6,26.597333333333335
26.6,26.6
26.6,26.6
26.8,26.602666666666664
26.8,26.597333333333335
26.8,26.624000000000002
26.8,26.656
26.8,26.714666666666666
26.8,26.784000000000002
26.8,26.8
26.8,26.8
26.8,26.78933333333333
26.8,26.8
26.8,26.797333333333334
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.78666666666667
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.792
26.8,26.8
26.8,26.8
26.8,26.797333333333334
26.8,26.8
26.8,26.8
26.8,26.792
26.8,26.794666666666664
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.792
26.8,26.8
26.8,26.792
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.78933333333333
26.8,26.8
26.8,26.794666666666664
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.8
26.8,26.8
